anchor,target,context,score
accept information,sanction information,A45,0.5
accept information,undertake information,A45,0.5
achieve authentication,achieve authentication accuracy,H04,0.5
achieve authentication,achieve local authentication,H04,0.5
achieve authentication,achieve mutual authentication,H04,0.5
achieve authentication,encryption,H04,0.5
achieve authentication,multi factor authentication,H04,0.5
acid absorption,acid,B01,0.5
acid absorption,acid absorption column,B01,0.5
acid absorption,acid absorption tower,B01,0.5
acid absorption,acid recovery,B01,0.5
acid absorption,acid stripping,B01,0.5
acid absorption,acrylic acid absorption,B01,0.5
acid absorption,h2so4 absorption,B01,0.5
acid absorption,hydrochloric acid absorption,B01,0.5
acid absorption,hydroxycarboxylicacid absorption,B01,0.5
acid absorption,nitric acid absorption,B01,0.5
acid absorption,acid,B08,0.5
acid absorption,acid water,B08,0.5
acid absorption,amino acid absorption,B08,0.5
acid absorption,chemical absorption,B08,0.5
acid absorption,fertilizer absorption,B08,0.5
acid absorption,hcl acid absorption,B08,0.5
ack,data,G04,0.5
ack,flag,G04,0.5
ack,frame,G04,0.5
ack,indicative message,G04,0.5
ack,message,G04,0.5
ack,signal,G04,0.5
ack,bus acknowledge,G06,0.5
ack,bus acknowledgement,G06,0.5
ack,busy acknowledge,G06,0.5
ack,frame flag,G06,0.5
ack,header id,G06,0.5
ack,negative acknowledgement,G06,0.5
ack,positive acknowledgement,G06,0.5
ack,positive acknowledgement packet,G06,0.5
ack,sms acknowledgement,G06,0.5
ack,tcp acknowledgement,G06,0.5
acoustooptic modulator,acoustic effect,H01,0.5
acoustooptic modulator,acoustic modulator,H01,0.5
acoustooptic modulator,acoustic optical modulator,H01,0.5
acoustooptic modulator,acousto optic element,H01,0.5
acoustooptic modulator,acousto optic modulating element,H01,0.5
acoustooptic modulator,acousto optical element,H01,0.5
acoustooptic modulator,acoustooptic,H01,0.5
acoustooptic modulator,acoustooptic deflector,H01,0.5
acoustooptic modulator,electrooptical,H01,0.5
acoustooptic modulator,electrooptical effect,H01,0.5
acoustooptic modulator,electrooptical modulator,H01,0.5
acoustooptic modulator,optical coupler,H01,0.5
acoustooptic modulator,optical frequency shifter,H01,0.5
acoustooptic modulator,optical modulator,H01,0.5
acoustooptic modulator,optical splitter,H01,0.5
acoustooptic modulator,optical splitting coupler,H01,0.5
acoustooptic modulator,output coupler,H01,0.5
acoustooptic modulator,piezoelectric modulator,H01,0.5
acrylate groups,acid groups,D21,0.5
acrylate groups,acrylate,D21,0.5
acrylate groups,acrylate functional groups,D21,0.5
acrylate groups,acrylate ion,D21,0.5
acrylate groups,acrylate monomers,D21,0.5
acrylate groups,acrylic acid,D21,0.5
acrylate groups,carboxylic acid groups,D21,0.5
acrylate groups,contained acrylate units,D21,0.5
acrylate groups,contained functional groups,D21,0.5
acrylate groups,copolymerized acrylate groups,D21,0.5
acrylate groups,copolymerized acrylate units,D21,0.5
acrylate groups,copolymerized functional groups,D21,0.5
acrylate groups,functional acrylate,D21,0.5
acrylate groups,functional groups,D21,0.5
acrylate groups,groups,D21,0.5
acrylate groups,methacrylate,D21,0.5
acrylate groups,methacrylate groups,D21,0.5
acrylate groups,methacrylate units,D21,0.5
acrylate groups,methyl acrylate,D21,0.5
acrylate groups,methyl methacrylate,D21,0.5
acrylate groups,modified acrylates,D21,0.5
acrylate groups,polymers,D21,0.5
acrylate groups,vinyl group,D21,0.5
activating position,activator,A61,0.5
activating position,activator position,A61,0.5
activating position,activator site,A61,0.5
activating position,distal extended position,A61,0.5
activating position,distal extended state,A61,0.5
activating position,distal position,A61,0.5
activating position,distal state,A61,0.5
activating position,initial position,A61,0.5
activating position,intermediate position,A61,0.5
activating position,opening position,A61,0.5
activating position,proximal distal position,A61,0.5
activating position,proximal extended position,A61,0.5
activating position,proximal extended state,A61,0.5
activating position,use position,A61,0.5
activating position,activated grid position,B65,0.5
activating position,closed position,B65,0.5
activating position,extended position,B65,0.5
activating position,open position,B65,0.5
activating position,protruding position,B65,0.5
activating position,activated,G06,0.5
activating position,activating,G06,0.5
activating position,activating condition,G06,0.5
activating position,activating configuration,G06,0.5
activating position,activation,G06,0.5
activating position,activation condition,G06,0.5
activating position,activation configuration,G06,0.5
activating position,activation state,G06,0.5
activating position,active working location,G06,0.5
activating position,functional location,G06,0.5
activating position,initial operative position,G06,0.5
activating position,operating positions,G06,0.5
activating position,positions,G06,0.5
activating position,routing topology,G06,0.5
acylate with acids,acetyl chloride,C07,0.5
acylate with acids,acid with acyl introduction,C07,0.5
acylate with acids,acyl groups into acid,C07,0.5
acylate with acids,acylate,C07,0.5
acylate with acids,acylating agent,C07,0.5
acylate with acids,acylation with acid,C07,0.5
acylate with acids,cellulose acylate films,C07,0.5
acylate with acids,produce cellulose acylate film,C07,0.5
adapt for learning,training,G16,0.5
adaptive linear,adaptive,G01,0.5
adaptive linear,adaptive modular guideway,G01,0.5
adaptive linear,adaptive signal,G01,0.5
adaptive linear,adaptive structure,G01,0.5
adaptive linear,flexible linear,G01,0.5
adaptive linear,signal,G01,0.5
adaptive linear,three dimensional measurement,G01,0.5
adaptive linear,time invariant filter,G01,0.5
adaptive linear,adaptive linear combiner,H04,0.5
adaptive linear,adaptive linear digital model,H04,0.5
adaptive linear,adaptive linear equalization,H04,0.5
adaptive linear,adaptive linear filter,H04,0.5
adaptive linear,adaptive nature,H04,0.5
adhesive mounting,adhesive,A47,0.5
adhesive mounting,adhesive attachment,A47,0.5
adhesive mounting,adhesive bases,A47,0.5
adhesive mounting,adhesive layer,A47,0.5
adhesive mounting,cohesive mount,A47,0.5
adhesive mounting,flange comprising mounting,A47,0.5
adhesive mounting,flange mounting,A47,0.5
adhesive mounting,glue mounting,A47,0.5
adhesive mounting,mounting,A47,0.5
adhesive mounting,mounting comprising including,A47,0.5
adhesive mounting,mounting flange including,A47,0.5
adhesive mounting,mounting flange mounting,A47,0.5
adhesive mounting,releasable mounting,A47,0.5
adhesive mounting,removable adhesive mounting,A47,0.5
adhesive mounting,separate adhesive mounting,A47,0.5
adhesive mounting,temporary mounting,A47,0.5
adjacent laterally,adjacent lateral surface,A41,0.5
adjacent laterally,adjacent lateral surface area,A41,0.5
adjacent laterally,adjacent sides,A41,0.5
adjacent laterally,adjacent to side,A41,0.5
adjacent laterally,laterally,A41,0.5
adjacent laterally,laterally on side,A41,0.5
adjacent laterally,laterally positioned,A41,0.5
adjacent laterally,longitudinally of laterally,A41,0.5
adjacent laterally,longitudinally spaced laterally,A41,0.5
adjacent laterally,spaced lateral sides,A41,0.5
adjacent laterally,spaced laterally,A41,0.5
adjacent laterally,adjacent,B23,0.5
adjacent laterally,adjacent system,B23,0.5
adjacent laterally,lateral,B23,0.5
adjacent laterally,laterally,B23,0.5
adjust gas flow,alter the gas flow rate,C23,0.5
adjust gas flow,controlled gas flow,C23,0.5
adjust gas flow,moderate the gas flow rate,C23,0.5
adjust gas flow,modify the gas flow rate,C23,0.5
adjust gas flow,regulate the gas flow rate,C23,0.5
adjust gas flow,supply gas,C23,0.5
adjust gas flow,supplying gas,C23,0.5
adjust gas flow,supplying processing gas,C23,0.5
adjust gas flow,supplying the gas,C23,0.5
adjust gas flow,transferring processing gas,C23,0.5
adjust gas flow,transferring the gas,C23,0.5
adjust gas flow,adjust gas flow rate,F23,0.5
adjust gas flow,adjusting fluid flow,F23,0.5
adjust gas flow,altering gas flow,F23,0.5
adjust gas flow,changing gas flow,F23,0.5
adjust gas flow,flowing gas,F23,0.5
adjust gas flow,gas flow,F23,0.5
adjust gas flow,gas pressure adjustment,F23,0.5
adjust gas flow,gas regulator,F23,0.5
adjustable multiple,adjustable,B23,0.5
adjustable multiple,adjustable multiple angles,B23,0.5
adjustable multiple,adjustable multiple blades,B23,0.5
adjustable multiple,aim adjustable multiple,B23,0.5
adjustable multiple,adjustable,B25,0.5
aesthetic effects,adding cool effects,A63,0.5
aesthetic effects,aesthetic objects,A63,0.5
aesthetic effects,aesthetic values,A63,0.5
aesthetic effects,aesthetically pleasing,A63,0.5
aesthetic effects,artificial sources of aesthetic,A63,0.5
aesthetic effects,beautiful effect,A63,0.5
aesthetic effects,beautiful effects,A63,0.5
aesthetic effects,colorful effect,A63,0.5
aesthetic effects,colorful effects,A63,0.5
aesthetic effects,colorful flash,A63,0.5
aesthetic effects,interesting effects,A63,0.5
aesthetic effects,interesting flash,A63,0.5
aesthetic effects,video effects,A63,0.5
aesthetic effects,visual effects,A63,0.5
aesthetic effects,dyeability,D03,0.5
aesthetic effects,effects,D03,0.5
aesthetic effects,fiber brightness,D03,0.5
aesthetic effects,fiber size,D03,0.5
aesthetic effects,film like effects,D03,0.5
aesthetic effects,image filtering effects,D03,0.5
aesthetic effects,video editing tools,D03,0.5
agitate means,blending means,B01,0.5
agitate means,churning means,B01,0.5
agitate means,mixing means,B01,0.5
agitate means,mixing rod,B01,0.5
agitate means,agitation device,B28,0.5
agitate means,blending system,B28,0.5
air flow line,air chamber,B63,0.5
air flow line,air discharge side,B63,0.5
air flow line,air flow,B63,0.5
air flow line,air outlet line,B63,0.5
air flow line,air passage,B63,0.5
air flow line,air side,B63,0.5
air flow line,air supply side,B63,0.5
air flow line,flow line,B63,0.5
air flow line,flow lines,B63,0.5
air flow line,flow supply line,B63,0.5
air flow line,gas passage,B63,0.5
air flow line,gas side,B63,0.5
air flow line,passage line system,B63,0.5
air flow line,air current flow,F04,0.5
air flow line,air flow component,F04,0.5
air flow line,air flow into line card,F04,0.5
air flow line,flow,F04,0.5
air flow line,flow system,F04,0.5
air flow line,flow velocity,F04,0.5
air flow line,gas flow line,F04,0.5
air flow line,main flow,F04,0.5
air flow line,main velocity,F04,0.5
air vent openings,air flow type,B60,0.5
air vent openings,air opening,B60,0.5
air vent openings,air openings,B60,0.5
air vent openings,air vent housing,B60,0.5
air vent openings,air vents,B60,0.5
air vent openings,conventional air blower,B60,0.5
air vent openings,gaps,B60,0.5
air vent openings,pressure ventilation,B60,0.5
air vent openings,supply opening,B60,0.5
air vent openings,supply openings,B60,0.5
air vent openings,vent opening,B60,0.5
air vent openings,vent openings,B60,0.5
air vent openings,vent vents,B60,0.5
align with input shaft,align shaft,F16,0.5
align with input shaft,align with shaft,F16,0.5
align with input shaft,aligning characteristics,F16,0.5
align with input shaft,alignment receptacles,F16,0.5
align with input shaft,in line alignment,F16,0.5
align with input shaft,intended alignment,F16,0.5
align with input shaft,shaft system,F16,0.5
alpha gypsum,alpha,B32,0.5
alpha gypsum,alpha calcium gypsum,B32,0.5
alpha gypsum,alpha gypsum block,B32,0.5
alpha gypsum,alpha gypsum powder,B32,0.5
alpha gypsum,alpha hemihydrate gypsum,B32,0.5
alpha gypsum,alpha sulfate,B32,0.5
alpha gypsum,calcium,B32,0.5
alpha gypsum,calcium gypsum,B32,0.5
alpha gypsum,calcium sulphate dihydrate,B32,0.5
alpha gypsum,gypsum,B32,0.5
alphatic,alkane,C09,0.5
alphatic,carbon and hydrogen,C09,0.5
alphatic,hydrocarbons,C09,0.5
alphatic,saturated,C09,0.5
alphatic,saturated like hexane,C09,0.5
alphatic,unsaturated,C09,0.5
alphatic,unsaturated like hexene,C09,0.5
aluminium compounds,alumina,C07,0.5
aluminium compounds,aluminium chloride,C07,0.5
aluminium compounds,aluminium hydroxide,C07,0.5
aluminium compounds,aluminium oxide,C07,0.5
aluminium compounds,aluminum,C07,0.5
aluminium compounds,aluminum hydroxide,C07,0.5
aluminium compounds,aluminum nitride,C07,0.5
aluminium compounds,aluminum nitride compounds,C07,0.5
aluminium compounds,bauxite,C07,0.5
aluminium compounds,alumina,C08,0.5
aluminium compounds,aluminium,C08,0.5
aluminium compounds,aluminium al compound,C08,0.5
aluminium compounds,aluminium al compounds,C08,0.5
aluminium compounds,aluminium catalysts,C08,0.5
aluminium compounds,aluminium nitride,C08,0.5
aluminium compounds,aluminium oxide,C08,0.5
aluminium compounds,aluminium trichloride,C08,0.5
aluminium compounds,aluminiumi compounds,C08,0.5
aluminium compounds,aluminiumii compounds,C08,0.5
aluminium compounds,aluminum catalysts,C08,0.5
aluminium compounds,aluminum hydroxide,C08,0.5
aluminium compounds,bauxite,C08,0.5
alumino silicates,crystalline aluminosilicates,C02,0.5
alumino silicates,feldspar compound,C02,0.5
alumino silicates,knaalsi3o8,C02,0.5
alumino silicates,kyanite,C02,0.5
alumino silicates,sillimanite,C02,0.5
alumino silicates,aluminium,G03,0.5
alumino silicates,aluminium silicate properties,G03,0.5
alumino silicates,aluminosilicate zeolites,G03,0.5
alumino silicates,containing zeolites,G03,0.5
alumino silicates,crystalline alumino silicates,G03,0.5
alumino silicates,hydrated aluminum silicates,G03,0.5
alumino silicates,hydrous silicates,G03,0.5
alumino silicates,oxide,G03,0.5
alumino silicates,oxides,G03,0.5
alumino silicates,oxides containing,G03,0.5
alumino silicates,oxides containing zeolites,G03,0.5
alumino silicates,oxides materials,G03,0.5
alumino silicates,oxides which zeolites,G03,0.5
alumino silicates,refractory silicates,G03,0.5
alumino silicates,silicate,G03,0.5
alumino silicates,silicate zeolites,G03,0.5
alumino silicates,silicates,G03,0.5
alumino silicates,sodium aluminum silicates,G03,0.5
alumino silicates,zeolites,G03,0.5
ammonia recovery,ammonia,C01,0.5
ammonia recovery,ammonia concentration,C01,0.5
ammonia recovery,ammonia recovery plant,C01,0.5
ammonia recovery,ammonia solution concentration,C01,0.5
ammonia recovery,ammonium concentration,C01,0.5
ammonia recovery,ammonium recovery,C01,0.5
ammonia recovery,aqueous ammonia concentration,C01,0.5
ammonia recovery,aqueous ammonia recovery,C01,0.5
ammonia recovery,aqueous solution concentration,C01,0.5
ammonia recovery,aqueous solution recovery,C01,0.5
ammonia recovery,bipolar membrane electrodialysis,C01,0.5
ammonia recovery,nitrogen compounds preparation,C01,0.5
ammonia recovery,nitrogen purification,C01,0.5
ammonia recovery,nitrogen recovery,C01,0.5
ammonia recovery,nitrogen separation,C01,0.5
ammonia recovery,recovery water,C01,0.5
ammonia recovery,ammonia from wastewater,C10,0.5
ammonia recovery,ammonia recovery process,C10,0.5
ammonia recovery,ammonia recovery tower,C10,0.5
ammonia recovery,recovery,C10,0.5
ammonia recovery,solvay process,C10,0.5
ammonia recovery,urea recovery,C10,0.5
androgen receptor modulators,androgen deprivation,C07,0.5
androgen receptor modulators,androgen receptor ligands,C07,0.5
androgen receptor modulators,ar agonists,C07,0.5
androgen receptor modulators,bind to androgen receptor,C07,0.5
androgen receptor modulators,enobosarm,C07,0.5
androgen receptor modulators,receptor modulators,C07,0.5
androgen receptor modulators,sarms,C07,0.5
androgen receptor modulators,selective androgen,C07,0.5
androgen receptor modulators,selective androgen receptor modulators,C07,0.5
androgen receptor modulators,testosterone receptor modulators,C07,0.5
angular contact bearing,axial angular contact bearing,B23,0.5
angular contact bearing,bearing systems,B23,0.5
angular contact bearing,machine elements,B23,0.5
angular contact bearing,radial angular contact bearing,B23,0.5
angular contact bearing,roller bearing,B23,0.5
angular contact bearing,angular contact ball bearing,B61,0.5
angular contact bearing,angular bearing,C21,0.5
angular contact bearing,angular contact ball bearing,F16,0.5
angular contact bearing,ball bearing,F16,0.5
angular contact bearing,bearing system,F16,0.5
angular contact bearing,double row angular contact bearing,F16,0.5
angular contact bearing,dual angular contact bearing,F16,0.5
angular contact bearing,needle bearing,F16,0.5
angular contact bearing,outer bearing,F16,0.5
angular contact bearing,spherical roller bearing,F16,0.5
angular contact bearing,angular contact,F42,0.5
angular contact bearing,bearing,F42,0.5
angular contact bearing,angle bearing,G01,0.5
angular contact bearing,angled bearing,G01,0.5
angular contact bearing,angular ball bearing,G01,0.5
angular contact bearing,angular bearing,G01,0.5
angular contact bearing,angular contact,G01,0.5
angular contact bearing,bearing,G01,0.5
angular contact bearing,embodiment angle bearing,G01,0.5
angular contact bearing,embodiment angular bearing,G01,0.5
angular contact bearing,thrust bearing,G01,0.5
animal fats,animal,A23,0.5
animal fats,animal by products,A23,0.5
animal fats,animal dairy product,A23,0.5
animal fats,animal essential fatty acids,A23,0.5
animal fats,animal ester of fatty acids,A23,0.5
animal fats,animal fats and oils,A23,0.5
animal fats,animal oils,A23,0.5
animal fats,animal triglycerides,A23,0.5
animal fats,consist of animal fats,A23,0.5
animal fats,fats,A23,0.5
animal fats,made of triglycerides,A23,0.5
animal fats,palmitic acid,A23,0.5
animal fats,animal lipid,C10,0.5
animal fats,animal oils,C10,0.5
animal fats,ester of fatty acids,C10,0.5
animal fats,fats,C10,0.5
animal fats,fatty tissue,C10,0.5
animal fats,fish oils,C10,0.5
animal fats,milk fats,C10,0.5
animal fats,oil,C10,0.5
animal fats,oils,C10,0.5
animal fats,rendered fats,C10,0.5
animal fats,triglycerides from animals,C10,0.5
animal fats,vegetable fats,C10,0.5
animal fats,vegetable oils,C10,0.5
animal fats,waxes,C10,0.5
animal fats,acid fats,C11,0.5
animal fats,animal vegetable fat,C11,0.5
animal fats,animal vegetable fats,C11,0.5
animal fats,fat,C11,0.5
animal fats,fats,C11,0.5
animal fats,fish fat,C11,0.5
animal fats,fish fats,C11,0.5
animal fats,hydrogenated animal fat,C11,0.5
animal fats,hydrogenated animal fats,C11,0.5
animal fats,hydrogenated vegetable fat,C11,0.5
animal fats,hydrogenated vegetable fats,C11,0.5
animal fats,natural fat,C11,0.5
animal fats,natural fats,C11,0.5
animal fats,vegetable fat,C11,0.5
animal fats,vegetable fats,C11,0.5
annular ends,corresponding axial ends,B60,0.5
annular ends,cylindrical flanges,B60,0.5
annular ends,outer circular surfaces,B60,0.5
annular ends,projecting annular flanges,B60,0.5
annular neck,annular,B29,0.5
annular neck,annular neck portion,B29,0.5
annular neck,annular sleeve,B29,0.5
annular neck,neck,B29,0.5
annular neck,annular flange,B65,0.5
annular neck,neck,B65,0.5
annular neck,annular element,F02,0.5
annular neck,annular portion,F02,0.5
annular neck,annular sleeve,F02,0.5
annular neck,annular tube,F02,0.5
annular neck,annular retaining shoulder,G04,0.5
annular neck,extending tubular projection,G04,0.5
annular neck,neck,G04,0.5
annular neck,outer annular skirt,G04,0.5
annular neck,projecting annular ring,G04,0.5
antiatherosclerotic,cholesterol antidiabetic,C07,0.5
antiatherosclerotic,cholesterol lowering,C07,0.5
antiatherosclerotic,lipid antidiabetic,C07,0.5
antiatherosclerotic,lipid deposition prohibition,C07,0.5
antiatherosclerotic,lipid lowering,C07,0.5
antiatherosclerotic,reduce arteries hardening,C07,0.5
antiatherosclerotic,reduce arteries thickening,C07,0.5
antiatherosclerotic,statins,C07,0.5
antiatherosclerotic,waxy deposition inhibition,C07,0.5
antidiuretic,adh hormone,C07,0.5
antidiuretic,drug reduce the urination,C07,0.5
antidiuretic,natriuretic,C07,0.5
antidiuretic,oxytocin hormone,C07,0.5
antidiuretic,vasopressin,C07,0.5
antidiuretic,vasopressin hormone,C07,0.5
antigen composition,amino acid sequence,A61,0.5
antigen composition,antigen,A61,0.5
antigen composition,antigen fragment,A61,0.5
antigen composition,antigen immunogen,A61,0.5
antigen composition,antigen portion,A61,0.5
antigen composition,antigen specific,A61,0.5
antigen composition,antigenic,A61,0.5
antigen composition,antigenic immunogen,A61,0.5
antigen composition,antigenic polypeptide,A61,0.5
antigen composition,antigens,A61,0.5
antigen composition,b cell antigen receptor,A61,0.5
antigen composition,fragment antigen,A61,0.5
antigen composition,fragment immunogen,A61,0.5
antigen composition,immune response,A61,0.5
antigen composition,immunogen,A61,0.5
antigen composition,mycobacterial antigen composition,A61,0.5
antigen composition,peptides,A61,0.5
antigen composition,portion antigen,A61,0.5
antigen composition,antibody,G01,0.5
antigen composition,antibody detection immunoassay,G01,0.5
antigen composition,antibody detection method,G01,0.5
antigen composition,antibody immunoassay,G01,0.5
antigen composition,antibody immunoassay method,G01,0.5
antigen composition,antigen detection method,G01,0.5
antigen composition,antigen immunoassay,G01,0.5
antigen composition,antigen immunoassay method,G01,0.5
antigen composition,composition,G01,0.5
antigen composition,diagnostic composition,G01,0.5
antigen composition,diagnostic method,G01,0.5
antigen composition,elisa immunoassay,G01,0.5
antigen composition,elisa method,G01,0.5
antigen composition,immune composition,G01,0.5
antigen composition,immunoassay,G01,0.5
antigen composition,immunoassay method,G01,0.5
antigen composition,immunogenic compositions,G01,0.5
antigen composition,immunoglobulin source,G01,0.5
antigen composition,vaccine compositions,G01,0.5
apart elongated,apart,B62,0.5
apart elongated,apart front longitudinal,B62,0.5
apart elongated,apart front side,B62,0.5
apart elongated,apart longitudinal,B62,0.5
apart elongated,apart longitudinal side,B62,0.5
apart elongated,apart side,B62,0.5
apart elongated,elongated,B62,0.5
apart elongated,spaced apart elongated,B62,0.5
apart elongated,apart,B64,0.5
apart elongated,apart support,B64,0.5
apart elongated,elongated channel,B64,0.5
apart elongated,elongated system,B64,0.5
apart elongated,apart,E21,0.5
apart elongated,apart tubular,E21,0.5
apart elongated,tubular,E21,0.5
application messaging,application,G06,0.5
application messaging,communicating,G06,0.5
application messaging,communication,G06,0.5
application messaging,data communication,G06,0.5
application messaging,data received,G06,0.5
application messaging,generic client,G06,0.5
application messaging,implementation message,G06,0.5
application messaging,management applications,G06,0.5
application messaging,messaging application,G06,0.5
application messaging,messaging client application,G06,0.5
application messaging,operating communication,G06,0.5
application messaging,operating communications,G06,0.5
application messaging,use messaging application,G06,0.5
application messaging,various functions,G06,0.5
application messaging,web service,G06,0.5
application messaging,web service communication,G06,0.5
application messaging,web service components,G06,0.5
apply on tube,apply on pipe,F16,0.5
apply on tube,apply on tube core,F16,0.5
apply on tube,apply on tunnel,F16,0.5
apply on tube,apply to discharge tube,F16,0.5
apply on tube,apply to ray tube,F16,0.5
apply on tube,hollow cylinder,F16,0.5
apply on tube,spray on tube,F16,0.5
apply on tube,tube system,F16,0.5
apply to anode electrode,anode electrode,H01,0.5
apply to anode electrode,anode electrode layer,H01,0.5
apply to anode electrode,anode electrode plate,H01,0.5
apply to anode electrode,apply to electrode,H01,0.5
apply to anode electrode,apply to metal electrode,H01,0.5
apply to anode electrode,attach to electrode,H01,0.5
apply to anode electrode,connect to auxiliary electrode,H01,0.5
apply to anode electrode,connect to common electrode,H01,0.5
apply to anode electrode,connect to electrode pad,H01,0.5
apply to anode electrode,correspond to electrode terminal,H01,0.5
apply to anode electrode,cover electrode terminal,H01,0.5
apply to anode electrode,generate anode electrode,H01,0.5
apply to muscle,apply to smooth muscle,A61,0.5
apply to muscle,carry to muscle,A61,0.5
apply to muscle,muscle,A61,0.5
apply to muscle,send to muscle,A61,0.5
apply to muscle,take to muscle,A61,0.5
apply to muscle,transport to muscle,A61,0.5
apply to requests,apply http request,H04,0.5
apply to requests,apply to command,H04,0.5
apply to requests,filtering rules,H04,0.5
apply to requests,request reply protocol,H04,0.5
apply to requests,sampling rate,H04,0.5
appropriate adjustment,adjustment system,B24,0.5
aralkynyl,alkynyl residue,C09,0.5
aralkynyl,aromatic and alkynyl group,C09,0.5
aralkynyl,aryl moiety,C09,0.5
aralkynyl,carbon atoms on aryl,C09,0.5
aralkynyl,heroaralkyl,C09,0.5
aralkynyl,heteroalkynyl,C09,0.5
aralkynyl,heteroaralkyl,C09,0.5
arc type,short arc type,B22,0.5
arc type,long arc type,B65,0.5
arc type,short arc type,B65,0.5
arc type,arc,G01,0.5
arc type,arc wavelength,G01,0.5
arc type,arc wavelength type,G01,0.5
arc type,bend portion,G01,0.5
arc type,elliptical,G01,0.5
arc type,oval,G01,0.5
arc type,type,G01,0.5
arc type,wavelength type,G01,0.5
arc type,arc including,H05,0.5
arcade,arcade machines,A61,0.5
arcade,amusement,A63,0.5
arcade,amusement arcade,A63,0.5
arcade,amusement arcades,A63,0.5
arcade,arcade machine,A63,0.5
arcade,arcade machines,A63,0.5
arcade,arcade video game,A63,0.5
arcade,boxing arcade,A63,0.5
arcade,entertainment machine,A63,0.5
arcuate means,arched means,D03,0.5
arcuate means,bent,D03,0.5
arcuate means,bent form,D03,0.5
arcuate means,concave shaped,D03,0.5
arcuate means,curved support,D03,0.5
arcuate means,semi circular means,D03,0.5
arcuate means,shape,D03,0.5
arcuate means,arc shape,H04,0.5
arcuate means,concave mean,H04,0.5
arcuate means,document support,H04,0.5
arcuate means,imparting an arcuate shape,H04,0.5
arm design,arm,B24,0.5
arm design,arm apparatus design,B24,0.5
arm design,arm design apparatus,B24,0.5
arm design,design system,B24,0.5
arm design,inclined arms,B24,0.5
arm design,structural design,B24,0.5
arm design,support arm design,B24,0.5
arm design,arm embodiment,F16,0.5
arm design,arm system,F16,0.5
arm design,horizontal arm sections,F16,0.5
arm design,one dimensional design,F16,0.5
arm design,robotic arm design,F16,0.5
arm design,support design,F16,0.5
arm roller,arm,B27,0.5
arm roller,arm guide,B27,0.5
arm roller,arm roller assembly,B27,0.5
arm roller,arm roller axle,B27,0.5
arm roller,arm roller axles,B27,0.5
arm roller,arm roller rod,B27,0.5
arm roller,arm roller shaft,B27,0.5
arm roller,arm spring,B27,0.5
arm roller,arms,B27,0.5
arm roller,arms roller axle,B27,0.5
arm roller,arms roller axles,B27,0.5
arm roller,roller rocker arm,B27,0.5
arm roller,rollers,B27,0.5
arm roller,arm,B62,0.5
arm roller,arm lower,B62,0.5
arm roller,arm pivot,B62,0.5
arm roller,pinch roller arm,B62,0.5
arm roller,roller support arm,B62,0.5
arm roller,arm,E04,0.5
arm roller,arm pull wheel,E04,0.5
arm roller,cam surface,E04,0.5
